Index,Shape,Description,Image URL,R,G,B,Admiration,Amusement,Anger,Annoyance,Approval,Caring,Confusion,Curiosity,Desire,Disappointment,Disapproval,Disgust,Embarassment,Excitement,Fear,Gratitude,Grief,Joy,Love,Nervousness,Optimism,Pride,Realization,Relief,Remorse,Sadness,Suprise,Neutral
31,Cylinder,A shape with two parallel circular bases.,http://mrmrsenglish.com/wp-content/uploads/2024/02/31-23.png,251,163,99,16.666666666666664,16.666666666666664,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,16.666666666666664,0.0,16.666666666666664,16.666666666666664,16.666666666666664,0.0,0.0
32,Pyramid,A polyhedron with a polygonal base and triangular faces meeting at a common vertex.,http://mrmrsenglish.com/wp-content/uploads/2024/02/32-23.png,207,233,229,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,16.666666666666664,0.0,0.0,0.0,0.0,0.0,16.666666666666664,0.0,0.0,16.666666666666664,0.0,0.0,16.666666666666664,0.0,33.33333333333333,0.0,0.0,0.0,0.0,0.0
33,Prism,A polyhedron with two parallel bases and rectangular or parallelogram sides.,http://mrmrsenglish.com/wp-content/uploads/2024/02/33-23.png,251,218,226,0.0,20.0,0.0,0.0,20.0,0.0,20.0,20.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,20.0,0.0,0.0,0.0
34,Tetrahedron,A polyhedron with four triangular faces.,http://mrmrsenglish.com/wp-content/uploads/2024/02/34-24.png,187,131,251,16.666666666666664,0.0,0.0,0.0,0.0,0.0,0.0,16.666666666666664,33.33333333333333,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,16.666666666666664,0.0,16.666666666666664,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
35,Octahedron,A polyhedron with eight triangular faces.,http://mrmrsenglish.com/wp-content/uploads/2024/02/35-24.png,4,201,190,0.0,0.0,0.0,0.0,0.0,0.0,0.0,33.33333333333333,33.33333333333333,0.0,0.0,0.0,0.0,0.0,0.0,16.666666666666664,16.666666666666664,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
36,Icosahedron,A polyhedron with twenty triangular faces.,http://mrmrsenglish.com/wp-content/uploads/2024/02/36-23.png,244,108,173,0.0,14.285714285714285,0.0,0.0,0.0,0.0,0.0,0.0,42.857142857142854,0.0,0.0,0.0,0.0,14.285714285714285,0.0,0.0,0.0,0.0,14.285714285714285,0.0,0.0,0.0,14.285714285714285,0.0,0.0,0.0,0.0,0.0
37,Dodecahedron,A polyhedron with twelve pentagonal faces.,http://mrmrsenglish.com/wp-content/uploads/2024/02/37-23.png,248,129,136,0.0,0.0,0.0,0.0,0.0,28.57142857142857,0.0,14.285714285714285,0.0,0.0,0.0,0.0,0.0,14.285714285714285,0.0,0.0,0.0,0.0,0.0,0.0,14.285714285714285,14.285714285714285,14.285714285714285,0.0,0.0,0.0,0.0,0.0
38,Torus,A doughnut-shaped three-dimensional object.,http://mrmrsenglish.com/wp-content/uploads/2024/02/38-23.png,223,197,108,0.0,28.57142857142857,0.0,0.0,14.285714285714285,0.0,0.0,0.0,14.285714285714285,0.0,0.0,0.0,0.0,14.285714285714285,14.285714285714285,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,14.285714285714285,0.0,0.0,0.0,0.0
39,Ellipse,A stretched-out circle with two focal points.,http://mrmrsenglish.com/wp-content/uploads/2024/02/39-22.png,4,155,76,0.0,0.0,0.0,0.0,28.57142857142857,14.285714285714285,14.285714285714285,0.0,0.0,0.0,0.0,0.0,14.285714285714285,0.0,0.0,14.285714285714285,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,14.285714285714285,0.0,0.0,0.0
40,Crescent,A curved shape resembling a segment of a circle.,http://mrmrsenglish.com/wp-content/uploads/2024/02/40-22.png,252,244,201,14.285714285714285,0.0,0.0,0.0,0.0,0.0,0.0,14.285714285714285,14.285714285714285,0.0,0.0,0.0,0.0,28.57142857142857,0.0,0.0,0.0,14.285714285714285,0.0,0.0,0.0,0.0,14.285714285714285,0.0,0.0,0.0,0.0,0.0
41,Annulus,A ring-shaped object formed by two concentric circles.,http://mrmrsenglish.com/wp-content/uploads/2024/02/41-22.png,184,40,97,0.0,28.57142857142857,0.0,14.285714285714285,0.0,0.0,0.0,0.0,28.57142857142857,0.0,0.0,0.0,14.285714285714285,0.0,0.0,14.285714285714285,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
42,Rhomboid,A parallelogram with unequal adjacent sides and oblique angles.,http://mrmrsenglish.com/wp-content/uploads/2024/02/42-21.png,140,83,252,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,16.666666666666664,0.0,0.0,0.0,16.666666666666664,0.0,16.666666666666664,16.666666666666664,0.0,0.0,0.0,16.666666666666664,0.0,0.0,0.0,16.666666666666664,0.0,0.0,0.0
43,Lune,A crescent-shaped figure created by intersecting circles.,http://mrmrsenglish.com/wp-content/uploads/2024/02/43-22.png,139,4,59,0.0,0.0,0.0,14.285714285714285,0.0,0.0,14.285714285714285,0.0,14.285714285714285,14.285714285714285,0.0,0.0,14.285714285714285,0.0,0.0,0.0,0.0,14.285714285714285,14.285714285714285,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
44,Triquetra,A symmetrical triangular figure with three interlaced arcs.,http://mrmrsenglish.com/wp-content/uploads/2024/02/44-22.png,203,203,203,16.666666666666664,0.0,0.0,0.0,0.0,16.666666666666664,0.0,0.0,16.666666666666664,0.0,16.666666666666664,0.0,0.0,0.0,16.666666666666664,0.0,0.0,0.0,0.0,0.0,0.0,16.666666666666664,0.0,0.0,0.0,0.0,0.0,0.0
45,Trefoil,A three-lobed or three-leafed shape.,http://mrmrsenglish.com/wp-content/uploads/2024/02/45-20.png,252,155,27,0.0,0.0,0.0,0.0,0.0,0.0,14.285714285714285,0.0,0.0,28.57142857142857,0.0,0.0,0.0,0.0,0.0,14.285714285714285,0.0,42.857142857142854,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
